"Products","Acf_lag_1","Acf_lag_2","Acf_lag_3","Acf_lag_4","Acf_lag_5","Acf_lag_6","Acf_lag_7","Acf_lag_8","Acf_lag_9","Acf_lag_10","Acf_lag_11","Acf_lag_12","Acf_lag_13","Acf_lag_14","Acf_lag_15","Acf_lag_16","Acf_lag_17","Acf_lag_18","Acf_lag_19","Acf_lag_20","Acf_lag_21","Acf_lag_22","Acf_lag_23","Acf_lag_24","Acf_lag_25","Acf_lag_26","Acf_lag_27","Acf_lag_28","Acf_lag_29","Acf_lag_30","Mean_backlog_size","Mean_backlog_size_change"
"1","kernel_networking",1,0.99,0.99,0.98,0.97,0.97,0.96,0.95,0.95,0.94,0.93,0.92,0.91,0.9,0.89,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.81,0.8,0.79,0.78,0.78,0.77,112.38,2.29
"2","eclipse_platform",1,1,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.9,0.89,0.89,0.88,0.88,0.87,0.87,7240.95,47.6
"3","eclipse_data_tools",1,0.99,0.98,0.97,0.96,0.95,0.94,0.92,0.91,0.9,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.8,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.7,159.05,4.54
"4","eclipse_birt",1,1,1,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.89,0.89,0.88,0.88,0.87,0.87,0.86,1000.21,18.89
"5","eclipse_jdt",1,1,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.92,0.92,0.92,0.91,0.91,0.9,0.9,0.9,0.89,3329.15,28.73
"6","eclipse_pde",1,0.99,0.98,0.98,0.97,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.89,0.89,0.88,0.88,0.87,0.87,0.86,0.86,850.86,8.27
"7","mozilla_calendar",1,1,0.99,0.98,0.98,0.97,0.96,0.95,0.95,0.94,0.93,0.93,0.92,0.91,0.9,0.9,0.89,0.88,0.88,0.87,0.86,0.85,0.85,0.84,0.83,0.82,0.82,0.81,0.8,0.8,1219.78,12.59
"8","mozilla_firefox",1,1,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.93,0.92,0.92,0.92,0.91,0.91,11354.33,82.95
"9","mozilla_core",1,1,0.99,0.99,0.99,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.92,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.89,29050.79,141.83
"10","mozilla_thunderbird",1,1,1,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.93,0.92,0.92,0.92,0.91,3708.5,22.94
"11","kernel_IO_Storage",1,0.99,0.99,0.98,0.97,0.97,0.96,0.95,0.94,0.93,0.93,0.92,0.91,0.9,0.89,0.88,0.87,0.86,0.85,0.84,0.84,0.83,0.82,0.81,0.8,0.79,0.78,0.77,0.76,0.76,161.42,2.59
"12","kernel_file_system",1,0.99,0.98,0.97,0.96,0.95,0.93,0.92,0.91,0.9,0.89,0.87,0.86,0.85,0.84,0.82,0.81,0.8,0.79,0.77,0.76,0.75,0.74,0.73,0.71,0.7,0.69,0.68,0.67,0.65,190.59,3.57
"13","open_office_writer",1,1,0.99,0.99,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.88,0.88,0.87,0.87,8123.17,43.62
"14","open_office_calc",1,1,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.88,0.88,0.87,3245.73,18.99
"15","open_office_draw",1,1,0.99,0.98,0.98,0.97,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.89,0.89,0.88,0.88,0.87,0.87,0.86,0.86,0.85,0.84,810.53,4.97
"16","apache_ant",1,1,0.99,0.99,0.99,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.89,0.89,0.88,1213.95,10.74
"17","apache_apache2",1,0.99,0.97,0.96,0.94,0.93,0.91,0.9,0.88,0.87,0.86,0.85,0.83,0.82,0.81,0.8,0.79,0.77,0.76,0.74,0.73,0.71,0.69,0.68,0.66,0.65,0.63,0.62,0.6,0.58,976.48,8.71
"18","libre_office_writer",1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.9,0.89,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.8,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.73,3245.32,28.38
"19","libre_office_calc",1,0.99,0.98,0.97,0.96,0.95,0.94,0.94,0.93,0.92,0.91,0.9,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.8,0.79,0.78,0.77,0.76,0.75,0.75,0.74,0.73,1816.79,17.94
"20","libre_office_draw",1,0.99,0.98,0.97,0.96,0.94,0.93,0.92,0.91,0.9,0.89,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.8,0.79,0.78,0.77,0.75,0.74,0.73,0.72,0.71,0.7,0.69,0.68,370.36,3.96
